SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,DFS Match ID,Squiggle Match ID
2026,ROUND 14,Sunday June 14,St Kilda , GWS Giants, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8170,CD_M20260141407,8170,38614
2026,ROUND 15,Thursday June 18,Fremantle , Geelong Cats, Optus Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8160,CD_M20260141501,8160,38615
2026,ROUND 15,Friday June 19,Gold Coast Suns , Hawthorn, People First Stadium ,7.40pm,https://www.afl.com.au/afl/matches/8161,CD_M20260141502,8161,38616
2026,ROUND 15,Saturday June 20,Adelaide Crows , Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8164,CD_M20260141503,8164,38617
2026,ROUND 15,Saturday June 20,GWS Giants , Carlton, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8162,CD_M20260141504,8162,38618
2026,ROUND 15,Saturday June 20,Collingwood , Port Adelaide, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8163,CD_M20260141505,8163,38619
2026,ROUND 15,Sunday June 21,Richmond , North Melbourne, MCG ,1.10pm,https://www.afl.com.au/afl/matches/8165,CD_M20260141506,8165,38620
2026,ROUND 15,Sunday June 21,St Kilda , Western Bulldogs, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8166,CD_M20260141507,8166,38621
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Brisbane Lions , Sydney Swans, The Gabba,,https://www.afl.com.au/afl/matches/8168,CD_M20260141601,8168,38622
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Carlton , West Coast Eagles, Marvel Stadium,,https://www.afl.com.au/afl/matches/8167,CD_M20260141602,8167,38623
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Collingwood , Richmond, MCG,,https://www.afl.com.au/afl/matches/8174,CD_M20260141603,8174,38624
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Hawthorn , GWS Giants, MCG,,https://www.afl.com.au/afl/matches/8172,CD_M20260141605,8172,38625
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,North Melbourne , Essendon, Marvel Stadium,,https://www.afl.com.au/afl/matches/8169,CD_M20260141606,8169,38626
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Port Adelaide , Adelaide Crows, Adelaide Oval,,https://www.afl.com.au/afl/matches/8179,CD_M20260141607,8179,38627
2026,ROUND 16 (dates and times TBC),Thursday June 25 – Sunday June 28,Fremantle , Gold Coast Suns, Optus Stadium,,https://www.afl.com.au/afl/matches/8171,CD_M20260141604,8171,38628
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Essendon , St Kilda, Marvel Stadium,,https://www.afl.com.au/afl/matches/8173,CD_M20260141701,8173,38629
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Geelong Cats , Brisbane Lions, GMHBA Stadium,,https://www.afl.com.au/afl/matches/8178,CD_M20260141702,8178,38630
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Gold Coast Suns , Collingwood, People First Stadium,,https://www.afl.com.au/afl/matches/8180,CD_M20260141703,8180,38631
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,GWS Giants , Fremantle, Corroboree Group Oval Manuka,,https://www.afl.com.au/afl/matches/8187,CD_M20260141704,8187,38632
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Hawthorn , Melbourne, UTAS Stadium,,https://www.afl.com.au/afl/matches/8175,CD_M20260141705,8175,38633
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Richmond , Carlton, MCG,,https://www.afl.com.au/afl/matches/8176,CD_M20260141707,8176,38634
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Sydney Swans , Western Bulldogs, SCG,,https://www.afl.com.au/afl/matches/8177,CD_M20260141708,8177,38635
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,Port Adelaide , North Melbourne, Adelaide Oval,,https://www.afl.com.au/afl/matches/8181,CD_M20260141706,8181,38636
2026,ROUND 17 (dates and times TBC),Thursday July 2 – Sunday July 5,West Coast Eagles , Adelaide Crows, Optus Stadium,,https://www.afl.com.au/afl/matches/8183,CD_M20260141709,8183,38637
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Brisbane Lions , Essendon, The Gabba,,https://www.afl.com.au/afl/matches/8186,CD_M20260141802,8186,38638
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Carlton , Hawthorn, MCG,,https://www.afl.com.au/afl/matches/8184,CD_M20260141803,8184,38639
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Collingwood , North Melbourne, Marvel Stadium,,https://www.afl.com.au/afl/matches/8182,CD_M20260141804,8182,38640
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,GWS Giants , Geelong Cats, ENGIE Stadium,,https://www.afl.com.au/afl/matches/8192,CD_M20260141806,8192,38641
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Melbourne , Richmond, MCG,,https://www.afl.com.au/afl/matches/8185,CD_M20260141807,8185,38642
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,St Kilda , Port Adelaide, Marvel Stadium,,https://www.afl.com.au/afl/matches/8188,CD_M20260141808,8188,38643
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Western Bulldogs , West Coast Eagles, Marvel Stadium,,https://www.afl.com.au/afl/matches/8193,CD_M20260141809,8193,38644
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Adelaide Crows , Gold Coast Suns, Adelaide Oval,,https://www.afl.com.au/afl/matches/8190,CD_M20260141801,8190,38645
2026,ROUND 18 (dates and times TBC),Thursday July 9 – Sunday July 12,Fremantle , Sydney Swans, Optus Stadium,,https://www.afl.com.au/afl/matches/8189,CD_M20260141805,8189,38646
2026,ROUND 19 (dates and times TBC),Thursday July 16 – Sunday July 19,Collingwood , Carlton, MCG,,https://www.afl.com.au/afl/matches/8194,CD_M20260141901,8194,38647
2026,ROUND 19 (dates and times TBC),Thursday July 16 – Sunday July 19,Essendon , GWS Giants, Marvel Stadium,,https://www.afl.com.au/afl/matches/8191,CD_M20260141902,8191,38648
